Order ID,Order Date,Region,Category,Sub-Category,Sales,Profit
ORD-1058,02-03-2023,West,Furniture,Furnishings,548.81,-29.67
ORD-1059,29-09-2023,South,Technology,Machines,238.86,56.05
ORD-1060,09-03-2024,Central,Technology,Copiers,248.71,70.82
ORD-1061,08-06-2023,West,Furniture,Chairs,295.55,-10.56
ORD-1062,16-08-2024,Central,Furniture,Bookcases,188.52,-18.1
ORD-1063,28-02-2023,West,Office Supplies,Paper,62.36,10.76
ORD-1064,28-02-2023,South,Furniture,Tables,85.58,-7.33
ORD-1065,12-03-2023,East,Office Supplies,Paper,291.17,44.56
ORD-1066,18-02-2024,West,Technology,Accessories,149.79,32.14
ORD-1067,15-08-2024,East,Office Supplies,Art,74.19,4.06
ORD-1068,04-11-2024,East,Office Supplies,Storage,276.79,27.91
ORD-1069,29-07-2023,Central,Office Supplies,Storage,122.11,28.85
ORD-1070,10-02-2024,West,Office Supplies,Art,49.52,5.81
ORD-1071,20-11-2023,South,Technology,Phones,112.83,28.01
ORD-1072,14-04-2024,East,Office Supplies,Binders,140.94,25.26
ORD-1073,17-03-2023,East,Office Supplies,Paper,77.19,-0.09
ORD-1074,24-12-2023,South,Technology,Machines,129.81,19.3
ORD-1075,19-10-2023,West,Technology,Machines,346.18,82.57
ORD-1076,18-09-2024,South,Technology,Phones,235.65,28.07
ORD-1077,14-11-2024,Central,Furniture,Chairs,173.51,-15.12
ORD-1078,18-05-2023,West,Technology,Accessories,545.52,167.27
ORD-1079,06-10-2023,West,Furniture,Bookcases,70.29,-4.4
ORD-1080,28-07-2023,Central,Technology,Copiers,262.44,59.24
ORD-1081,15-09-2023,South,Technology,Phones,285.15,166.89
ORD-1082,11-10-2024,East,Furniture,Chairs,494.03,83.29
ORD-1083,08-12-2023,Central,Office Supplies,Storage,95.14,17.19
ORD-1084,15-06-2023,Central,Office Supplies,Art,136.17,7.02
ORD-1085,28-07-2024,West,Furniture,Tables,1472.56,-256.33
ORD-1086,12-07-2024,West,Office Supplies,Paper,203.02,25.66
ORD-1087,16-03-2024,West,Office Supplies,Binders,121.05,25.07
ORD-1088,02-01-2024,West,Furniture,Chairs,632.32,41.37
ORD-1089,29-12-2023,Central,Technology,Copiers,164.48,36.46
ORD-1090,27-09-2024,Central,Technology,Accessories,839.48,322.65
ORD-1091,16-06-2023,South,Technology,Copiers,25.89,5.66
ORD-1092,26-01-2023,West,Technology,Copiers,216.68,7.17
ORD-1093,16-11-2024,South,Technology,Machines,396.61,113.66
ORD-1094,13-06-2023,Central,Furniture,Chairs,128.86,1.53
ORD-1095,26-04-2024,West,Technology,Copiers,895.47,215.36
ORD-1096,25-12-2023,West,Technology,Accessories,557.49,203.56
ORD-1097,17-08-2023,West,Furniture,Bookcases,95.8,-0.78
ORD-1098,13-10-2023,South,Technology,Machines,167.16,64.72
ORD-1099,26-12-2023,Central,Office Supplies,Storage,1.11,0.04
ORD-1100,29-01-2023,West,Technology,Accessories,41.35,2.89
ORD-1101,17-08-2024,South,Furniture,Chairs,111.72,7.34
ORD-1102,02-09-2024,East,Technology,Machines,282.23,122.71
ORD-1103,22-03-2024,East,Office Supplies,Art,67.99,10.67
ORD-1104,13-08-2024,West,Furniture,Furnishings,330.19,18.92
ORD-1105,02-01-2023,East,Technology,Accessories,293.58,78.15
ORD-1106,08-01-2024,East,Technology,Machines,166.06,68.27
ORD-1107,30-09-2024,West,Technology,Machines,436.85,113.07
ORD-1108,03-06-2024,West,Office Supplies,Art,119.6,16.34
ORD-1109,14-12-2024,West,Furniture,Furnishings,150.79,22.91
ORD-1110,11-11-2024,South,Office Supplies,Paper,213.76,50.49
ORD-1111,22-09-2024,East,Office Supplies,Binders,265.96,45.31
ORD-1112,08-11-2023,West,Office Supplies,Storage,255.2,16.13
ORD-1113,21-04-2024,East,Office Supplies,Art,152.21,19.69
ORD-1114,23-06-2023,Central,Furniture,Bookcases,97.43,18.46
ORD-1115,06-04-2023,Central,Technology,Machines,179.71,55.69
ORD-1116,19-08-2023,Central,Furniture,Chairs,121.44,9.88
ORD-1117,08-09-2023,South,Office Supplies,Binders,261.86,31.86
ORD-1118,11-04-2024,East,Office Supplies,Paper,129.05,24.3
ORD-1119,14-12-2024,East,Office Supplies,Paper,194.21,21.28
ORD-1120,02-11-2024,Central,Technology,Phones,934.77,286.53
ORD-1121,11-03-2024,West,Technology,Copiers,131.36,10.32
ORD-1122,21-02-2023,East,Technology,Phones,453.54,120.96
ORD-1123,12-04-2024,West,Office Supplies,Storage,173.16,8.35
ORD-1124,29-03-2024,East,Technology,Copiers,794.16,207.58
ORD-1125,15-07-2024,East,Furniture,Furnishings,501.44,39.81
ORD-1126,05-04-2024,West,Furniture,Bookcases,161.67,18.93
ORD-1127,17-06-2024,East,Furniture,Furnishings,379.19,-46.93
ORD-1128,21-03-2023,Central,Furniture,Bookcases,47.08,-1.4
ORD-1129,24-11-2023,South,Furniture,Tables,371.08,32.4
ORD-1130,25-08-2023,East,Furniture,Tables,534.53,7.33
ORD-1131,07-03-2023,East,Office Supplies,Art,154.04,22.46
ORD-1132,01-03-2024,West,Technology,Copiers,155.48,38.76
ORD-1133,21-08-2024,South,Furniture,Furnishings,167.52,22.25
ORD-1134,03-05-2024,West,Office Supplies,Art,128.27,16.11
ORD-1135,05-03-2024,East,Technology,Accessories,515.64,108.16
ORD-1136,14-05-2024,West,Office Supplies,Binders,93.34,28.19
ORD-1137,03-02-2024,West,Office Supplies,Art,231.99,67.8
ORD-1138,19-06-2023,South,Technology,Phones,107.35,20.28
ORD-1139,08-02-2024,East,Office Supplies,Binders,293.4,15.5
ORD-1140,20-10-2024,East,Technology,Accessories,168.32,51.04
ORD-1141,21-02-2023,West,Office Supplies,Art,30.42,4.48
ORD-1142,01-12-2023,West,Technology,Machines,1326.01,340.96
ORD-1143,07-03-2024,West,Furniture,Chairs,454.49,-49.28
ORD-1144,06-07-2024,West,Technology,Accessories,1481.68,285.43
ORD-1145,27-10-2024,West,Technology,Phones,246.85,7.08
ORD-1146,01-02-2023,South,Furniture,Chairs,369.81,30.72
ORD-1147,28-09-2024,West,Furniture,Chairs,468.25,-66.18
ORD-1148,31-07-2024,South,Office Supplies,Storage,71.09,10.01
ORD-1149,13-01-2024,West,Office Supplies,Binders,216.31,26.05
ORD-1150,17-06-2023,South,Furniture,Chairs,162.54,2.02
ORD-1151,16-11-2023,East,Technology,Copiers,85.89,18.21
ORD-1152,11-02-2024,South,Furniture,Tables,223.96,39.7
ORD-1153,15-04-2023,Central,Office Supplies,Binders,315.17,46.2
ORD-1154,02-08-2024,Central,Office Supplies,Art,66.06,8.53
ORD-1155,08-11-2024,East,Office Supplies,Storage,404.84,115.32
ORD-1156,13-01-2023,South,Technology,Phones,582.48,57.06
ORD-1157,19-03-2024,South,Office Supplies,Art,93.18,15.99
ORD-1158,25-12-2024,West,Furniture,Bookcases,570.2,-1.16
ORD-1159,22-09-2024,Central,Office Supplies,Art,93.11,19.06
ORD-1160,21-04-2024,East,Technology,Machines,50.33,14.53
ORD-1161,27-11-2023,South,Technology,Phones,252.74,88.52
ORD-1162,13-10-2023,South,Furniture,Furnishings,165.75,27.81
ORD-1163,06-08-2024,East,Office Supplies,Binders,195.07,-3.17
ORD-1164,21-05-2024,South,Furniture,Tables,150.78,7.43
ORD-1165,30-12-2023,Central,Office Supplies,Storage,160.27,2.51
ORD-1166,23-07-2024,West,Technology,Phones,770.32,69.23
ORD-1167,05-09-2023,Central,Office Supplies,Paper,169.48,19.49
ORD-1168,08-12-2024,East,Technology,Copiers,709.88,110.27
ORD-1169,18-01-2023,West,Furniture,Tables,165.93,-2.26
ORD-1170,10-11-2023,Central,Office Supplies,Storage,63.47,0.33
ORD-1171,11-03-2024,South,Office Supplies,Storage,98.96,27.43
ORD-1172,20-12-2024,East,Office Supplies,Paper,158.58,25.56
ORD-1173,04-05-2023,Central,Office Supplies,Paper,262.03,29.09
ORD-1174,16-07-2023,West,Office Supplies,Storage,236.73,14.46
ORD-1175,13-04-2023,South,Furniture,Bookcases,233.57,3.97
ORD-1176,03-07-2023,West,Technology,Accessories,41.22,5.66
ORD-1177,08-10-2023,West,Furniture,Bookcases,24.18,2.88
ORD-1178,15-12-2024,South,Office Supplies,Art,142.29,6.01
ORD-1179,16-04-2023,South,Office Supplies,Art,121.02,-1.03
ORD-1180,05-05-2024,East,Furniture,Chairs,245.77,6.78
ORD-1181,16-09-2023,South,Office Supplies,Binders,110.29,7.53
ORD-1182,15-02-2024,East,Office Supplies,Binders,61.65,8.47
ORD-1183,05-06-2023,West,Office Supplies,Storage,318.95,38.07
ORD-1184,29-03-2023,South,Furniture,Furnishings,396.06,132.65
ORD-1185,12-09-2024,East,Office Supplies,Art,300.08,11.11
ORD-1186,06-04-2024,South,Furniture,Furnishings,136.2,29.62
ORD-1187,09-11-2023,East,Furniture,Chairs,66.96,-7.89
ORD-1188,01-08-2023,East,Furniture,Chairs,312.67,-1.55
ORD-1189,10-06-2023,West,Office Supplies,Paper,106.27,7.72
ORD-1190,03-01-2023,East,Office Supplies,Art,75.98,-6.1
ORD-1191,26-10-2023,West,Furniture,Bookcases,381.85,8.14
ORD-1192,20-12-2024,South,Furniture,Tables,74.14,5.82
ORD-1193,28-09-2023,Central,Office Supplies,Paper,146.83,23.5
ORD-1194,11-03-2024,West,Furniture,Tables,106.09,31.32
ORD-1195,30-09-2023,Central,Furniture,Tables,451.65,-13.33
ORD-1196,11-11-2023,East,Technology,Machines,559.86,127.63
ORD-1197,25-03-2024,West,Office Supplies,Art,6.35,0.89
ORD-1198,06-10-2023,East,Office Supplies,Binders,73.17,2.11
ORD-1199,04-09-2024,West,Office Supplies,Storage,337.99,22.93
ORD-1200,10-09-2024,West,Furniture,Chairs,397.87,-8.85
ORD-1201,19-11-2024,Central,Office Supplies,Paper,201.52,32.72
ORD-1202,26-04-2024,East,Office Supplies,Storage,381.72,-8.25
ORD-1203,05-07-2023,South,Office Supplies,Art,47.82,7.16
ORD-1204,04-04-2023,East,Office Supplies,Storage,95.81,15.24
ORD-1205,17-11-2024,West,Furniture,Furnishings,638.97,57.83
ORD-1206,11-12-2024,East,Office Supplies,Art,112.49,10.63
ORD-1207,17-07-2024,West,Furniture,Bookcases,301.43,25.55
ORD-1208,28-11-2023,West,Technology,Phones,1463.13,253.09
ORD-1209,04-11-2024,South,Office Supplies,Binders,213.21,-9.18
ORD-1210,12-07-2023,East,Office Supplies,Art,66.27,13.53
ORD-1211,02-10-2024,East,Furniture,Bookcases,106.46,9.5
ORD-1212,16-07-2024,West,Furniture,Furnishings,325.98,51.21
ORD-1213,05-05-2023,West,Office Supplies,Paper,187.24,0.32
ORD-1214,27-12-2024,West,Office Supplies,Art,365.6,58.77
ORD-1215,06-04-2023,West,Technology,Phones,678.47,148.03
ORD-1216,17-04-2024,South,Office Supplies,Paper,136.28,4.45
ORD-1217,25-05-2024,South,Furniture,Bookcases,80.63,4.72
ORD-1218,01-03-2024,South,Technology,Accessories,137.85,22.78
ORD-1219,12-04-2024,East,Office Supplies,Paper,268.61,26.43
ORD-1220,13-03-2023,West,Technology,Copiers,134.86,21.21
ORD-1221,15-12-2023,South,Office Supplies,Binders,73.98,14.02
ORD-1222,17-10-2023,Central,Technology,Copiers,498.84,18.35
ORD-1223,02-06-2023,East,Office Supplies,Storage,188.57,-4.2
ORD-1224,19-07-2024,Central,Office Supplies,Storage,307.64,41.36
ORD-1225,13-07-2023,South,Furniture,Furnishings,699.18,44.14
ORD-1226,28-08-2023,South,Office Supplies,Storage,186.3,25.59
ORD-1227,29-04-2024,Central,Technology,Copiers,287.83,111.74
ORD-1228,10-11-2024,Central,Office Supplies,Paper,283.45,38.18
ORD-1229,22-05-2024,South,Furniture,Bookcases,168.87,-11.61
ORD-1230,13-04-2023,South,Office Supplies,Art,104.04,33.61
ORD-1231,16-01-2023,Central,Office Supplies,Paper,173.53,18.63
ORD-1232,18-03-2023,East,Technology,Machines,194.47,55.47
ORD-1233,30-09-2024,Central,Office Supplies,Storage,38.93,0.64
ORD-1234,21-11-2024,South,Office Supplies,Storage,29.03,2.88
ORD-1235,03-10-2024,Central,Technology,Phones,175.84,30.37
ORD-1236,24-09-2024,West,Office Supplies,Storage,478.57,51.41
ORD-1237,21-08-2023,Central,Office Supplies,Binders,369.6,77.66
ORD-1238,10-10-2024,Central,Furniture,Tables,70.68,7.92
ORD-1239,11-12-2024,West,Furniture,Bookcases,195.99,-16.22
ORD-1240,27-02-2023,West,Office Supplies,Paper,174.81,23.19
ORD-1241,08-09-2023,East,Office Supplies,Paper,156.14,18.44
ORD-1242,24-06-2023,West,Office Supplies,Art,160.44,21.24
ORD-1243,26-09-2024,Central,Office Supplies,Paper,118.08,9.04
ORD-1244,26-08-2023,East,Furniture,Bookcases,509.95,-137.24
ORD-1245,13-11-2024,West,Technology,Machines,949.19,-6.97
ORD-1246,24-11-2024,East,Furniture,Bookcases,260.87,5.07
ORD-1247,24-08-2024,West,Technology,Machines,138.49,16.93
ORD-1248,12-04-2024,South,Furniture,Furnishings,119.04,4.96
ORD-1249,09-05-2024,West,Office Supplies,Storage,323.77,71.79
ORD-1250,11-08-2024,West,Office Supplies,Binders,158.76,9.8
ORD-1251,05-11-2024,East,Furniture,Chairs,140.93,15.32
ORD-1252,12-09-2024,Central,Technology,Machines,161.86,28.66
ORD-1253,24-08-2023,East,Office Supplies,Paper,249.75,38.85
ORD-1254,27-09-2024,West,Technology,Accessories,1347.25,133.77
ORD-1255,05-10-2024,West,Office Supplies,Binders,262.07,24.96
ORD-1256,13-11-2023,Central,Furniture,Bookcases,34.61,9.06
ORD-1257,15-05-2023,West,Furniture,Furnishings,159.55,28.06
ORD-1258,29-06-2023,West,Technology,Machines,704.86,17.4
ORD-1259,27-06-2024,East,Furniture,Tables,69.09,18.0
ORD-1260,21-09-2023,South,Technology,Machines,130.31,38.73
ORD-1261,13-12-2023,Central,Office Supplies,Binders,118.24,10.75
ORD-1262,25-05-2023,Central,Furniture,Furnishings,159.48,49.22
ORD-1263,24-07-2024,East,Technology,Phones,426.59,92.61
ORD-1264,28-09-2023,East,Office Supplies,Storage,134.67,2.28
ORD-1265,21-08-2024,East,Office Supplies,Storage,166.25,22.55
ORD-1266,21-04-2023,Central,Office Supplies,Storage,53.37,14.97
ORD-1267,16-09-2024,West,Furniture,Furnishings,623.68,50.35
ORD-1268,18-12-2024,West,Office Supplies,Paper,332.93,13.22
ORD-1269,16-02-2023,South,Office Supplies,Art,162.44,-4.43
ORD-1270,29-04-2023,West,Technology,Accessories,99.49,16.44
ORD-1271,02-02-2024,East,Office Supplies,Art,178.13,12.66
ORD-1272,24-08-2024,Central,Furniture,Furnishings,47.13,9.94
ORD-1273,01-11-2024,West,Office Supplies,Art,84.32,3.71
ORD-1274,14-10-2023,West,Office Supplies,Art,773.84,98.76
ORD-1275,31-03-2024,South,Technology,Phones,227.28,32.37
ORD-1276,03-12-2024,East,Technology,Machines,413.5,12.84
ORD-1277,04-03-2023,East,Furniture,Chairs,406.01,18.6
ORD-1278,10-04-2024,West,Furniture,Chairs,705.51,-96.62
ORD-1279,21-02-2023,Central,Furniture,Tables,122.19,15.38
ORD-1280,01-08-2024,West,Technology,Accessories,926.62,21.97
ORD-1281,23-08-2024,West,Technology,Machines,1023.89,197.16
ORD-1282,01-06-2023,Central,Office Supplies,Storage,184.65,37.88
ORD-1283,29-05-2023,South,Office Supplies,Paper,124.54,20.52
ORD-1284,23-04-2023,Central,Furniture,Chairs,335.63,-1.49
ORD-1285,02-01-2024,Central,Furniture,Bookcases,255.88,25.99
ORD-1286,17-01-2023,West,Furniture,Furnishings,278.64,41.3
ORD-1287,22-06-2024,West,Furniture,Furnishings,264.55,-21.09
ORD-1288,06-01-2024,East,Furniture,Tables,422.03,78.28
ORD-1289,21-09-2024,West,Technology,Machines,460.98,135.45
ORD-1290,14-04-2024,Central,Furniture,Furnishings,111.08,-13.18
ORD-1291,16-02-2024,East,Furniture,Furnishings,300.37,23.03
ORD-1292,17-03-2023,South,Office Supplies,Paper,78.7,7.8
ORD-1293,09-03-2023,West,Office Supplies,Storage,192.56,45.4
ORD-1294,26-01-2024,South,Office Supplies,Art,131.48,24.91
ORD-1295,01-06-2024,East,Furniture,Chairs,259.66,15.55
ORD-1296,01-11-2024,Central,Technology,Accessories,592.75,191.05
ORD-1297,16-03-2024,East,Furniture,Bookcases,122.95,40.07
ORD-1298,09-04-2024,East,Technology,Machines,204.82,6.52
ORD-1299,13-03-2024,West,Furniture,Tables,44.71,-0.02
ORD-1300,04-12-2024,South,Furniture,Chairs,126.86,-8.97
ORD-1301,06-04-2023,East,Technology,Machines,111.21,21.86
ORD-1302,14-05-2023,East,Office Supplies,Storage,182.6,6.27
ORD-1303,17-11-2024,West,Office Supplies,Art,277.36,55.12
ORD-1304,22-02-2023,South,Office Supplies,Storage,97.27,29.65
ORD-1305,17-04-2023,East,Furniture,Furnishings,125.08,8.75
ORD-1306,18-08-2023,South,Office Supplies,Storage,160.56,-0.9
ORD-1307,28-04-2023,Central,Office Supplies,Art,127.63,8.95
ORD-1308,28-07-2024,South,Technology,Phones,129.16,19.43
ORD-1309,15-09-2024,South,Technology,Machines,176.32,60.31
ORD-1310,30-01-2023,West,Technology,Machines,194.99,45.7
ORD-1311,14-12-2023,East,Furniture,Tables,159.16,11.83
ORD-1312,02-08-2024,Central,Furniture,Chairs,41.63,-2.12
ORD-1313,04-04-2023,Central,Furniture,Furnishings,187.19,-4.41
ORD-1314,09-04-2024,West,Office Supplies,Storage,129.68,21.2
ORD-1315,04-08-2024,East,Technology,Accessories,546.72,99.67
ORD-1316,11-06-2023,Central,Furniture,Chairs,86.84,13.56
ORD-1317,06-10-2023,East,Office Supplies,Art,70.03,5.5
ORD-1318,29-02-2024,West,Technology,Phones,358.63,-53.11
ORD-1319,20-12-2023,East,Furniture,Furnishings,103.86,-0.91
ORD-1320,23-06-2024,Central,Furniture,Furnishings,328.56,-48.21
ORD-1321,05-09-2024,West,Furniture,Tables,529.76,64.04
ORD-1322,21-05-2023,Central,Furniture,Chairs,341.09,33.66
ORD-1323,08-01-2023,East,Office Supplies,Paper,250.38,51.41
ORD-1324,25-01-2024,East,Furniture,Bookcases,451.22,-12.59
ORD-1325,15-03-2023,East,Technology,Copiers,377.21,69.14
ORD-1326,20-01-2023,East,Furniture,Bookcases,236.17,-7.73
ORD-1327,12-08-2024,East,Office Supplies,Art,217.59,26.61
ORD-1328,24-10-2023,West,Furniture,Bookcases,542.45,80.35
ORD-1329,25-06-2023,Central,Office Supplies,Storage,36.09,6.49
ORD-1330,01-04-2023,East,Furniture,Furnishings,540.24,40.86
ORD-1331,26-08-2024,East,Furniture,Bookcases,253.72,60.71
ORD-1332,14-12-2023,West,Technology,Phones,929.56,51.92
ORD-1333,06-06-2024,Central,Office Supplies,Paper,85.58,11.6
ORD-1334,24-12-2023,East,Technology,Accessories,286.72,62.35
ORD-1335,30-08-2023,West,Furniture,Tables,828.15,-109.96
ORD-1336,08-09-2024,West,Technology,Phones,632.79,93.29
ORD-1337,01-07-2023,South,Office Supplies,Art,301.5,34.59
ORD-1338,31-07-2024,Central,Office Supplies,Storage,88.42,1.91
ORD-1339,04-10-2024,West,Office Supplies,Art,152.96,5.86
ORD-1340,28-03-2024,Central,Technology,Phones,341.49,106.61
ORD-1341,27-12-2023,East,Office Supplies,Art,355.27,61.11
ORD-1342,08-02-2023,West,Technology,Phones,284.1,21.95
ORD-1343,22-10-2024,South,Technology,Copiers,554.52,108.38
ORD-1344,18-04-2024,East,Technology,Phones,321.57,41.45
ORD-1345,05-04-2024,South,Office Supplies,Paper,66.93,1.33
ORD-1346,26-11-2023,East,Office Supplies,Binders,382.17,61.32
ORD-1347,06-04-2024,West,Technology,Machines,299.33,70.12
ORD-1348,28-03-2023,East,Furniture,Tables,291.78,30.69
ORD-1349,25-12-2024,East,Office Supplies,Paper,233.98,31.76
ORD-1350,08-01-2024,East,Furniture,Furnishings,342.98,-25.27
ORD-1351,13-12-2023,Central,Furniture,Bookcases,160.33,-5.0
ORD-1352,09-03-2023,West,Office Supplies,Art,521.04,31.64
ORD-1353,18-10-2023,West,Technology,Accessories,302.57,85.95
ORD-1354,08-12-2023,West,Office Supplies,Storage,103.84,10.16
ORD-1355,14-11-2023,South,Office Supplies,Art,112.13,9.4
ORD-1356,13-05-2023,East,Technology,Machines,18.46,5.58
ORD-1357,26-07-2024,East,Technology,Accessories,106.6,11.01
ORD-1358,17-11-2024,Central,Technology,Phones,286.12,125.95
ORD-1359,23-10-2024,Central,Office Supplies,Binders,118.97,12.17
ORD-1360,07-01-2024,West,Technology,Machines,311.82,35.04
ORD-1361,12-05-2024,West,Technology,Accessories,314.27,31.38
ORD-1362,21-03-2023,West,Technology,Phones,247.07,73.85
ORD-1363,08-11-2024,West,Technology,Accessories,654.56,222.51
ORD-1364,03-09-2024,East,Furniture,Tables,391.23,104.63
ORD-1365,24-03-2024,West,Office Supplies,Paper,224.61,43.04
ORD-1366,30-03-2024,East,Technology,Copiers,416.72,88.12
ORD-1367,28-08-2023,East,Office Supplies,Art,288.89,82.63
ORD-1368,18-07-2023,East,Technology,Copiers,155.7,25.39
ORD-1369,17-04-2024,Central,Technology,Copiers,244.98,33.04
ORD-1370,15-06-2023,Central,Technology,Accessories,145.21,14.06
ORD-1371,14-09-2023,West,Office Supplies,Storage,184.64,21.8
ORD-1372,21-07-2024,South,Technology,Phones,705.77,75.29
ORD-1373,19-10-2023,West,Furniture,Furnishings,398.54,21.74
ORD-1374,09-06-2024,West,Office Supplies,Paper,190.52,15.21
ORD-1375,06-04-2024,South,Technology,Copiers,232.51,40.52
ORD-1376,24-02-2023,East,Office Supplies,Art,32.21,6.27
ORD-1377,25-03-2023,East,Furniture,Chairs,379.33,-36.83
ORD-1378,27-10-2024,West,Furniture,Chairs,56.97,16.53
ORD-1379,21-10-2023,South,Office Supplies,Paper,230.25,26.92
ORD-1380,23-12-2024,East,Office Supplies,Binders,33.65,2.5
ORD-1381,20-01-2023,West,Technology,Copiers,769.53,260.11
ORD-1382,24-04-2023,Central,Furniture,Chairs,220.16,-7.11
ORD-1383,18-02-2023,West,Office Supplies,Art,113.37,7.51
ORD-1384,06-03-2023,West,Technology,Phones,384.1,65.62
ORD-1385,09-10-2024,East,Furniture,Tables,308.79,1.71
ORD-1386,26-10-2023,East,Office Supplies,Paper,14.55,2.02
ORD-1387,07-08-2024,East,Office Supplies,Binders,117.08,3.56
ORD-1388,20-06-2024,South,Furniture,Chairs,269.38,-26.8
ORD-1389,04-02-2024,South,Furniture,Furnishings,109.21,10.0
ORD-1390,18-01-2024,West,Furniture,Chairs,57.37,0.99
ORD-1391,20-12-2023,West,Office Supplies,Binders,184.73,3.21
ORD-1392,18-08-2024,Central,Office Supplies,Binders,99.43,21.74
ORD-1393,27-12-2023,East,Technology,Accessories,965.51,275.19
ORD-1394,02-12-2024,East,Office Supplies,Paper,271.56,59.15
ORD-1395,19-05-2023,West,Technology,Copiers,399.45,97.07
ORD-1396,07-02-2023,West,Furniture,Tables,190.76,18.23
ORD-1397,12-02-2023,West,Office Supplies,Art,165.72,19.39
ORD-1398,10-07-2024,East,Furniture,Tables,192.8,-14.3
ORD-1399,20-10-2023,East,Technology,Machines,286.35,0.05
ORD-1400,07-10-2023,West,Office Supplies,Art,193.15,30.17
ORD-1401,26-03-2024,South,Office Supplies,Paper,219.66,-24.54
ORD-1402,23-05-2024,Central,Office Supplies,Storage,59.07,8.99
ORD-1403,26-03-2023,Central,Furniture,Tables,340.98,-25.5
ORD-1404,12-07-2024,West,Furniture,Bookcases,467.56,-13.13
ORD-1405,07-11-2024,West,Office Supplies,Art,151.45,20.81
ORD-1406,20-06-2023,Central,Office Supplies,Binders,118.25,33.14
